$0;1776059370638195069;1.15-SNAPSHOT;KIEKER;2c60425710cd;1;false;0;NANOSECONDS;0
$1;1776059502089659961;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639252;1776059502064541304;1776059502089619795;2c60425710cd;1;1
$1;1776059502120478290;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639252;1776059502089775813;1776059502120442852;2c60425710cd;2;1
$1;1776059502136484580;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639252;1776059502121061314;1776059502136459745;2c60425710cd;5;1
$1;1776059502138827089;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639252;1776059502064433006;1776059502138811465;2c60425710cd;0;0
$1;1776059502265931536;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639253;1776059502254229534;1776059502265894032;2c60425710cd;1;1
$1;1776059502281589995;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639253;1776059502266034109;1776059502281560247;2c60425710cd;2;1
$1;1776059502293656613;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639253;1776059502282061599;1776059502293617504;2c60425710cd;5;1
$1;1776059502296324957;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639253;1776059502254205686;1776059502296306129;2c60425710cd;0;0
$1;1776059502460042655;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639254;1776059502447127448;1776059502460017070;2c60425710cd;1;1
$1;1776059502478169453;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639254;1776059502460109390;1776059502478140395;2c60425710cd;2;1
$1;1776059502512031835;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639254;1776059502478266665;1776059502511991193;2c60425710cd;5;1
$1;1776059502521986038;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639254;1776059502447098612;1776059502521937631;2c60425710cd;0;0
