$0;1776135780121573871;1.15-SNAPSHOT;KIEKER;7fc98c33473d;1;false;0;NANOSECONDS;0
$1;1776135863295531868;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374295;1776135863258241116;1776135863295498865;7fc98c33473d;1;1
$1;1776135863327502715;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374295;1776135863297811791;1776135863327475325;7fc98c33473d;2;1
$1;1776135863359387910;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374295;1776135863328012906;1776135863359359399;7fc98c33473d;5;1
$1;1776135863362644784;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374295;1776135863258204840;1776135863362620065;7fc98c33473d;0;0
$1;1776135863516652037;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374296;1776135863499429551;1776135863516620005;7fc98c33473d;1;1
$1;1776135863551657704;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374296;1776135863517129199;1776135863551628048;7fc98c33473d;2;1
$1;1776135863563145783;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374296;1776135863551759437;1776135863563119008;7fc98c33473d;5;1
$1;1776135863566115332;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374296;1776135863499400410;1776135863566098158;7fc98c33473d;0;0
$1;1776135863876780760;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374297;1776135863865992987;1776135863876758835;7fc98c33473d;1;1
$1;1776135863892107857;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374297;1776135863877194913;1776135863892085346;7fc98c33473d;2;1
$1;1776135863903420566;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374297;1776135863892180760;1776135863903392568;7fc98c33473d;5;1
$1;1776135863908794401;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374297;1776135863865973428;1776135863908770225;7fc98c33473d;0;0
$1;1776135863961129894;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374298;1776135863949602779;1776135863961108270;7fc98c33473d;1;1
$1;1776135863971770340;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374298;1776135863961777445;1776135863971744258;7fc98c33473d;2;1
$1;1776135863991993726;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374298;1776135863972313647;1776135863991968117;7fc98c33473d;5;1
