$0;1776124909198155367;1.15-SNAPSHOT;KIEKER;3390ce98c47b;1;false;0;NANOSECONDS;0
$1;1776125036580445850;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960088;1776125036568417094;1776125036580421312;3390ce98c47b;1;1
$1;1776125036593098504;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960088;1776125036580729213;1776125036593076545;3390ce98c47b;2;1
$1;1776125036601955510;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960088;1776125036593182991;1776125036601934770;3390ce98c47b;5;1
$1;1776125036605614332;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960088;1776125036568384852;1776125036605588648;3390ce98c47b;0;0
$1;1776125036939742438;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960090;1776125036910582348;1776125036939718463;3390ce98c47b;1;1
$1;1776125036958510931;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960089;1776125036887824979;1776125036958466860;3390ce98c47b;1;1
$1;1776125037012562965;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960089;1776125036959092339;1776125037012526785;3390ce98c47b;2;1
$1;1776125037020629139;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960091;1776125036994480456;1776125037020590296;3390ce98c47b;1;1
$1;1776125037051487468;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960090;1776125036940159977;1776125037051459720;3390ce98c47b;2;1
$1;1776125037054706635;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960091;1776125037021093583;1776125037054687679;3390ce98c47b;2;1
