$0;1776129380382921031;1.15-SNAPSHOT;KIEKER;1d1e0cfaac31;1;false;0;NANOSECONDS;0
$1;1776129511430472438;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590675;1776129511371413328;1776129511430450293;1d1e0cfaac31;0;0
$1;1776129511525571961;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590676;1776129511504603227;1776129511525545097;1d1e0cfaac31;1;1
$1;1776129511539504186;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590676;1776129511525661271;1776129511539484475;1d1e0cfaac31;2;1
$1;1776129511552113157;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590676;1776129511539811435;1776129511552092972;1d1e0cfaac31;5;1
$1;1776129511556877492;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590676;1776129511504574653;1776129511556865400;1d1e0cfaac31;0;0
$1;1776129511779021209;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590677;1776129511763251389;1776129511778981048;1d1e0cfaac31;1;1
$1;1776129511804379142;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590677;1776129511779138273;1776129511804357249;1d1e0cfaac31;2;1
$1;1776129511819405008;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590677;1776129511804717771;1776129511819374903;1d1e0cfaac31;5;1
$1;1776129511834951511;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590677;1776129511763221873;1776129511834927137;1d1e0cfaac31;0;0
$1;1776129511891323272;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590678;1776129511876901094;1776129511891282994;1d1e0cfaac31;1;1
$1;1776129511902382994;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590678;1776129511891397888;1776129511902349949;1d1e0cfaac31;2;1
$1;1776129511911555181;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590678;1776129511902522893;1776129511911527422;1d1e0cfaac31;5;1
$1;1776129511922078724;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590678;1776129511876869129;1776129511922053791;1d1e0cfaac31;0;0
$1;1776129512065406785;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590679;1776129512018216669;1776129512065376230;1d1e0cfaac31;1;1
$1;1776129512080065071;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590679;1776129512065502883;1776129512080037170;1d1e0cfaac31;2;1
$1;1776129512170775557;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590679;1776129512080557500;1776129512170746798;1d1e0cfaac31;5;1
$1;1776129512174587883;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590679;1776129512018189496;1776129512174565691;1d1e0cfaac31;0;0
$1;1776129512214308736;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590680;1776129512197110853;1776129512214284450;1d1e0cfaac31;1;1
$1;1776129512223439282;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590680;1776129512214387346;1776129512223416594;1d1e0cfaac31;2;1
$1;1776129512251197952;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590680;1776129512223519203;1776129512251166291;1d1e0cfaac31;5;1
$1;1776129512254571694;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590680;1776129512197062139;1776129512254545269;1d1e0cfaac31;0;0
$1;1776129512519957545;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590681;1776129512507707847;1776129512519925935;1d1e0cfaac31;1;1
$1;1776129512529472857;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590681;1776129512520075750;1776129512529445152;1d1e0cfaac31;2;1
$1;1776129512541615044;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590681;1776129512529929754;1776129512541584917;1d1e0cfaac31;5;1
$1;1776129512544159348;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590681;1776129512507679477;1776129512544142943;1d1e0cfaac31;0;0
$1;1776129512601227129;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590682;1776129512588592359;1776129512601197263;1d1e0cfaac31;1;1
$1;1776129512611856379;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590682;1776129512601345366;1776129512611829454;1d1e0cfaac31;2;1
