$0;1776139314968881554;1.15-SNAPSHOT;KIEKER;4c3518970fc5;1;false;0;NANOSECONDS;0
$1;1776139442306343881;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584467;1776139442286871267;1776139442306316138;4c3518970fc5;2;1
$1;1776139442325154978;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584468;1776139442252220078;1776139442325124206;4c3518970fc5;1;1
$1;1776139442361332148;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584467;1776139442306440230;1776139442361309908;4c3518970fc5;5;1
$1;1776139442363119693;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584467;1776139442252152904;1776139442363108932;4c3518970fc5;0;0
$1;1776139442369724598;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584468;1776139442325634528;1776139442369702863;4c3518970fc5;2;1
$1;1776139442409569235;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584468;1776139442370214467;1776139442409511679;4c3518970fc5;5;1
$1;1776139442458769891;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584468;1776139442252186526;1776139442458733803;4c3518970fc5;0;0
$1;1776139442574771325;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584469;1776139442558662231;1776139442574732388;4c3518970fc5;1;1
$1;1776139442593134472;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584469;1776139442575223128;1776139442593103630;4c3518970fc5;2;1
$1;1776139442608811486;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584469;1776139442594323746;1776139442608782204;4c3518970fc5;5;1
$1;1776139442611858548;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584469;1776139442558639118;1776139442611843523;4c3518970fc5;0;0
$1;1776139442869355806;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584470;1776139442855133907;1776139442869326214;4c3518970fc5;1;1
$1;1776139442885548367;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584470;1776139442870051419;1776139442885521421;4c3518970fc5;2;1
