$0;1776133286101629784;1.15-SNAPSHOT;KIEKER;5e6e85f09b73;1;false;0;NANOSECONDS;0
$1;1776133358759720265;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3125498141395124244;1776133358738448209;1776133358759692502;5e6e85f09b73;1;1
$1;1776133358777186165;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3125498141395124244;1776133358759813478;1776133358777161896;5e6e85f09b73;2;1
$1;1776133358791499967;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3125498141395124244;1776133358777273780;1776133358791463470;5e6e85f09b73;5;1
$1;1776133358802867831;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3125498141395124244;1776133358738419875;1776133358802847833;5e6e85f09b73;0;0
$1;1776133358938588330;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3125498141395124245;1776133358928406656;1776133358938543504;5e6e85f09b73;1;1
$1;1776133358952083554;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3125498141395124245;1776133358938702450;1776133358952055244;5e6e85f09b73;2;1
$1;1776133358962439325;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3125498141395124245;1776133358952164870;1776133358962414096;5e6e85f09b73;5;1
$1;1776133358967431750;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3125498141395124245;1776133358928381753;1776133358967406938;5e6e85f09b73;0;0
$1;1776133359064953766;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3125498141395124246;1776133359027471356;1776133359064927924;5e6e85f09b73;1;1
$1;1776133359081339375;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3125498141395124246;1776133359065362251;1776133359081316424;5e6e85f09b73;2;1
