$0;1776138586916638340;1.15-SNAPSHOT;KIEKER;ff63fb3914ef;1;false;0;NANOSECONDS;0
$1;1776138712435686995;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962387;1776138712414454012;1776138712435647722;ff63fb3914ef;1;1
$1;1776138712450130356;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962388;1776138712426266930;1776138712450096026;ff63fb3914ef;1;1
$1;1776138712466109360;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962387;1776138712436141780;1776138712466073118;ff63fb3914ef;2;1
$1;1776138712478797045;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962388;1776138712450267485;1776138712478764840;ff63fb3914ef;2;1
$1;1776138712493460774;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962387;1776138712466733322;1776138712493425056;ff63fb3914ef;5;1
$1;1776138712495750770;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962387;1776138712414427372;1776138712495713670;ff63fb3914ef;0;0
$1;1776138712504442334;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962388;1776138712479295847;1776138712504419959;ff63fb3914ef;5;1
$1;1776138712513002296;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962388;1776138712426246238;1776138712512974362;ff63fb3914ef;0;0
$1;1776138712671224957;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962389;1776138712658876987;1776138712671187310;ff63fb3914ef;1;1
$1;1776138712683228090;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962389;1776138712671293101;1776138712683205148;ff63fb3914ef;2;1
